word,sentiment,n
vice,negative,2257
congratulations,positive,390
love,positive,312
trump,positive,296
happy,positive,231
proud,positive,223
win,positive,222
racist,negative,218
support,positive,179
racism,negative,178
celebrate,positive,161
amazing,positive,133
issues,negative,130
won,positive,126
congratulate,positive,125
favorite,positive,123
hate,negative,122
victory,positive,121
excited,positive,120
pretty,positive,114
hard,negative,107
bad,negative,102
risk,negative,91
joy,positive,89
free,positive,88
shit,negative,86
powerful,positive,76
decent,positive,73
breaking,negative,71
lead,positive,71
funny,negative,65
lost,negative,65
broken,negative,59
fucking,negative,58
stupid,negative,54
weird,negative,54
wrong,negative,54
fuck,negative,52
issue,negative,51
queer,negative,51
