word,sentiment,n
trump,positive,4249
vice,negative,2314
love,positive,994
support,positive,971
racist,negative,946
hate,negative,787
win,positive,762
peace,positive,686
bad,negative,676
free,positive,568
fascist,negative,554
radical,negative,542
racism,negative,538
faith,positive,522
wrong,negative,512
fraud,negative,511
lost,negative,454
congratulations,positive,445
won,positive,430
freedom,positive,427
die,negative,426
attack,negative,418
hard,negative,413
shit,negative,409
lies,negative,407
dangerous,negative,404
authoritarian,negative,403
happy,positive,393
terrorism,negative,390
proud,positive,388
pretty,positive,327
fear,negative,326
respect,positive,326
rhetoric,negative,316
popular,positive,308
victory,positive,300
supporting,positive,253
progressive,positive,235
celebrate,positive,233
lead,positive,227
