word,sentiment,n
trump,positive,2857
fascist,negative,509
fraud,negative,451
support,positive,409
racist,negative,388
authoritarian,negative,386
win,positive,363
dangerous,negative,337
lies,negative,267
lost,negative,255
corrupt,negative,242
rhetoric,negative,226
bad,negative,218
free,positive,214
popular,positive,212
won,positive,193
propaganda,negative,192
hate,negative,183
fascism,negative,175
suppression,negative,167
hard,negative,163
conspiracy,negative,158
wrong,negative,155
attack,negative,150
racism,negative,144
fear,negative,134
fair,positive,128
progressive,positive,124
supporting,positive,120
love,positive,113
pretty,positive,109
freedom,positive,107
victory,positive,106
defeat,positive,104
modern,positive,103
faith,positive,89
winning,positive,88
wins,positive,87
lead,positive,83
fervor,positive,79
