word,sentiment,n,value
congratulations,positive,390,2
love,positive,312,3
happy,positive,231,3
proud,positive,223,2
win,positive,222,4
racist,negative,218,-3
support,positive,179,2
racism,negative,178,-3
celebrate,positive,161,3
amazing,positive,133,4
won,positive,126,3
congratulate,positive,125,2
favorite,positive,123,2
hate,negative,122,-3
excited,positive,120,3
pretty,positive,114,1
hard,negative,107,-1
bad,negative,102,-3
risk,negative,91,-2
joy,positive,89,3
free,positive,88,1
shit,negative,86,-4
powerful,positive,76,2
beautiful,positive,69,3
strong,positive,68,2
funny,negative,65,4
lost,negative,65,-3
wins,positive,64,4
broken,negative,59,-1
fucking,negative,58,-4
comprehensive,positive,55,2
wow,positive,55,4
stupid,negative,54,-2
weird,negative,54,-2
wrong,negative,54,-2
fun,positive,53,4
celebrated,positive,52,3
fuck,negative,52,-4
loved,positive,52,3
top,positive,50,2
inspiration,positive,48,2
supporting,positive,46,1
honor,positive,45,2
popular,positive,44,3
fake,negative,43,-3
glad,positive,43,3
inspiring,positive,43,3
solidarity,positive,42,2
cool,positive,41,1
miss,negative,41,-2
poor,negative,41,-2
winning,positive,40,4
enjoy,positive,38,2
sick,negative,38,-2
wonderful,positive,38,4
damn,negative,37,-4
nice,positive,37,3
mad,negative,35,-3
risks,negative,35,-2
significant,positive,35,1
super,positive,35,3
worth,positive,35,2
faith,positive,33,1
grateful,positive,32,3
missed,negative,32,-2
progress,positive,32,2
sad,negative,32,-2
darkness,negative,30,-1
evil,negative,30,-3
failed,negative,30,-2
fine,positive,30,2
racists,negative,30,-3
exciting,positive,28,3
awesome,positive,27,4
hell,negative,27,-4
success,positive,27,2
fair,positive,26,2
ignorance,negative,26,-2
perfect,positive,26,3
recommend,positive,26,2
safe,positive,26,1
worse,negative,26,-3
thrilled,positive,25,5
brilliant,positive,24,4
creative,positive,24,2
freedom,positive,24,2
overjoyed,positive,24,4
prominent,positive,24,2
protect,positive,24,1
award,positive,23,3
hopeful,positive,23,2
nonsense,negative,23,-2
shame,negative,23,-2
worried,negative,23,-3
die,negative,22,-3
excuse,negative,22,-1
negative,negative,22,-2
rich,positive,22,2
worst,negative,22,-3
abuse,negative,21,-3
bullshit,negative,21,-4
cry,negative,21,-1
hurt,negative,21,-2
losing,negative,21,-3
sadly,negative,21,-2
stronger,positive,21,2
attacks,negative,20,-1
difficult,negative,20,-1
easy,positive,20,1
fantastic,positive,20,4
likes,positive,20,2
peace,positive,20,2
bright,positive,19,1
fear,negative,19,-2
honest,positive,19,2
ignore,negative,19,-1
bullying,negative,18,-2
dumb,negative,18,-3
fresh,positive,18,1
joke,negative,18,2
limited,negative,18,-1
successful,positive,18,3
boost,positive,17,1
inspire,positive,17,2
lack,negative,17,-2
attack,negative,16,-1
bias,negative,16,-1
blame,negative,16,-2
death,negative,16,-2
helping,positive,16,2
insane,negative,16,-2
propaganda,negative,16,-2
threat,negative,16,-2
benefit,positive,15,2
dead,negative,15,-3
denied,negative,15,-2
disputed,negative,15,-2
excitement,positive,15,3
ironic,negative,15,-1
motivated,positive,15,2
positive,positive,15,2
struggle,negative,15,-2
broke,negative,14,-1
delighted,positive,14,3
disgusting,negative,14,-3
hates,negative,14,-3
meaningful,positive,14,2
mess,negative,14,-2
murder,negative,14,-2
prison,negative,14,-2
smart,positive,14,1
trusted,positive,14,2
anxiety,negative,13,-2
confusing,negative,13,-2
crazy,negative,13,-2
guarantee,positive,13,1
happiness,positive,13,3
helpful,positive,13,2
keen,positive,13,1
promise,positive,13,1
questionable,negative,13,-2
tired,negative,13,-2
friendly,positive,12,2
glorious,positive,12,2
healthy,positive,12,2
lovely,positive,12,3
loving,positive,12,2
pathetic,negative,12,-2
peaceful,positive,12,2
perfectly,positive,12,3
poverty,negative,12,-1
severe,negative,12,-2
suicide,negative,12,-2
crisis,negative,11,-3
excellent,positive,11,3
fail,negative,11,-2
gain,positive,11,2
sweet,positive,11,2
thankful,positive,11,2
triumph,positive,11,4
complain,negative,10,-2
conflict,negative,10,-2
cute,positive,10,2
doubt,negative,10,-1
encourage,positive,10,2
fascist,negative,10,-2
ridiculous,negative,10,-3
scary,negative,10,-2
unacceptable,negative,10,-2
aggressive,negative,9,-2
annoying,negative,9,-2
dedicated,positive,9,2
effective,positive,9,2
fascinating,positive,9,3
idiot,negative,9,-3
ignorant,negative,9,-2
illegal,negative,9,-3
kudos,positive,9,3
luck,positive,9,3
praising,positive,9,3
privileged,positive,9,2
protests,negative,9,-2
robust,positive,9,2
secure,positive,9,2
stereotype,negative,9,-2
sucks,negative,9,-3
threats,negative,9,-2
upset,negative,9,-2
vague,negative,9,-2
vulnerable,negative,9,-2
afraid,negative,8,-2
angry,negative,8,-3
appreciated,positive,8,2
boring,negative,8,-3
cancer,negative,8,-1
comfortable,positive,8,2
confused,negative,8,-2
conspiracy,negative,8,-3
defeated,positive,8,-2
died,negative,8,-3
disgust,negative,8,-3
failure,negative,8,-2
glory,positive,8,2
horrific,negative,8,-3
illness,negative,8,-2
impress,positive,8,3
insecure,negative,8,-2
intelligent,positive,8,2
misleading,negative,8,-3
positively,positive,8,2
revive,positive,8,2
scam,negative,8,-2
screwed,negative,8,-2
smarter,positive,8,2
stuck,negative,8,-2
suffering,negative,8,-2
survivor,positive,8,2
timid,negative,8,-2
treasure,positive,8,2
trouble,negative,8,-2
unsure,negative,8,-1
ashamed,negative,7,-2
beloved,positive,7,3
biased,negative,7,-2
destroy,negative,7,-3
gains,positive,7,2
hurts,negative,7,-2
improve,positive,7,2
infected,negative,7,-2
intense,negative,7,1
irony,negative,7,-1
jealous,negative,7,-2
killing,negative,7,-3
loyalty,positive,7,3
mocking,negative,7,-2
neglected,negative,7,-2
rejoice,positive,7,4
scams,negative,7,-2
sexy,positive,7,3
steal,negative,7,-2
stolen,negative,7,-2
strange,negative,7,-1
struggles,negative,7,-2
supported,positive,7,2
thoughtful,positive,7,2
threaten,negative,7,-2
threatening,negative,7,-2
